lAT, LON, type, SPs (30), SPs (60), SPs (100), SPs (150)
48.2221234, 16.3536526,0,15,21,28,37
48.2967696, 16.3766472,0,15,20,27,36
48.2967069, 16.3765127,1,14,19,25,33
48.2119294, 16.3775516,3,10,14,18,24
48.2329579, 16.3552054,0,13,18,24,32
48.2623478, 16.454031,1,14,19,25,34
48.1694404, 16.3845446,3,11,15,21,27
48.1877965, 16.3996446,0,16,22,30,39
48.2143285, 16.3259382,0,16,21,28,37
48.2261887, 16.3447167,0,16,22,29,38
48.1430129, 16.2615857,4,16,22,30,39
48.1523771, 16.3204877,3,13,18,24,32
48.2285337, 16.3360546,0,15,20,27,35
48.1860368, 16.3018863,0,13,17,23,31
48.1753801, 16.37705,0,15,21,28,36
48.2404503, 16.4838818,2,13,18,24,32
48.2048741, 16.3582334,0,17,23,31,41
48.2135326, 16.3693438,3,10,14,19,25
48.2130311, 16.3674582,0,13,17,23,30
48.2401518, 16.4369991,2,20,27,36,47
48.2333109, 16.4449477,0,11,15,20,26
48.2334357, 16.4441685,0,15,20,27,36
48.2154627, 16.50501,0,19,26,35,46
48.2254904, 16.4649273,0,14,19,26,34
48.2258595, 16.464209,2,15,20,27,35
48.2379714, 16.4396802,0,12,16,22,29
48.2384718, 16.4395983,2,10,13,18,23
48.2277768, 16.4588487,0,11,15,20,26
48.2170911, 16.4935163,3,10,14,19,25
48.2173383, 16.4923221,0,13,18,24,31
48.23164, 16.4484761,0,18,24,32,42
48.223987, 16.4696406,4,16,21,28,37
48.224116, 16.468854,0,14,19,26,34
48.2155927, 16.5354319,0,20,27,36,47
48.2086259, 16.510501,0,15,20,27,36
48.2092309, 16.5002253,0,10,14,19,25
48.210266, 16.5002322,0,12,16,21,28
48.2302935, 16.469411,2,12,16,22,29
48.216959, 16.5432554,3,12,17,22,29
48.2086547, 16.5188326,0,16,21,29,38
48.2098073, 16.5159468,2,11,15,21,27
48.2197421, 16.5327122,0,18,24,32,42
48.2269907, 16.4730389,0,13,18,24,31
48.2275504, 16.4723703,1,17,23,31,41
48.209262, 16.5070735,0,14,19,25,34
48.2256541, 16.4747344,0,13,18,24,31
48.2253503, 16.4749185,0,18,24,32,42
48.2106747, 16.4974139,1,13,17,23,30
48.2345877, 16.4671443,0,12,16,21,28
48.2324409, 16.4682021,0,14,18,25,33
48.2136003, 16.4896404,0,13,17,23,31
48.2137358, 16.4890439,4,10,13,18,24
48.2121752, 16.4958344,1,18,24,32,43
48.2123987, 16.4948483,0,19,25,34,44
48.213729, 16.516344,0,17,23,30,40
48.2140646, 16.519568,0,18,24,32,42
48.208218, 16.5072,0,16,22,29,39
48.214642, 16.542268,3,15,21,28,37
48.2087613, 16.5034746,0,14,19,25,33
48.2178987, 16.528521,0,14,18,24,32
48.2195706, 16.5376124,2,13,18,24,31
48.2111125, 16.5191604,3,12,16,21,28
48.2114784, 16.5161526,0,15,21,28,36
48.2226369, 16.5341561,0,13,17,23,31
48.2199501, 16.5330965,3,10,14,19,25
48.2305605, 16.5337954,3,12,17,23,30
48.230943, 16.5224742,2,18,24,32,42
48.2245752, 16.5349255,2,9,12,16,21
48.2310176, 16.5199446,3,15,20,27,36
48.2334442, 16.5386444,1,16,21,28,37
48.2248228, 16.5317067,0,12,17,23,30
48.2300338, 16.5370261,2,15,20,27,35
48.2304693, 16.5369207,0,14,18,25,32
48.2510837, 16.5069613,1,17,22,30,39
48.2488846, 16.5315044,0,14,19,26,34
48.2422591, 16.5306641,0,12,16,22,29
48.2445822, 16.5303338,0,18,25,33,44
48.2472972, 16.5310783,3,13,18,24,32
48.2614798, 16.5361164,3,15,20,27,36
48.2529738, 16.5340634,0,17,22,30,39
48.2539833, 16.5344504,2,11,15,21,27
48.2347304, 16.4612681,2,15,20,27,35
48.2104799, 16.4657598,0,15,20,27,36
48.2108802, 16.4659914,3,13,17,23,30
48.2401613, 16.5025006,2,18,24,32,42
48.2374124, 16.4785067,0,15,20,27,36
48.2019936, 16.4731211,3,14,19,25,33
48.2349053, 16.4661672,2,10,14,19,25
48.2386734, 16.5025966,2,14,18,25,33
48.2389777, 16.4799041,0,16,21,28,37
48.2277715, 16.4576994,0,14,19,25,33
48.203916, 16.4701217,0,16,22,29,38
48.2254799, 16.4532634,0,13,17,23,30
48.2186936, 16.4698285,0,13,18,24,32
48.2309127, 16.4574057,2,13,17,23,30
48.231152, 16.4576174,0,16,22,29,39
48.2053632, 16.4744678,2,13,18,24,32
48.238071, 16.5044732,0,17,23,31,41
48.2398555, 16.4903035,1,12,17,22,30
48.2126853, 16.4669892,2,13,18,24,32
48.2403611, 16.4914829,0,15,21,28,37
48.2404134, 16.4919622,2,13,18,24,31
48.2404651, 16.4994589,3,14,19,26,34
48.2399915, 16.4821484,0,12,16,22,28
48.2394371, 16.4990281,0,17,23,31,41
48.2083255, 16.4697544,0,16,22,29,39
48.2059258, 16.4676401,4,14,18,25,32
48.237092, 16.4878758,2,14,18,24,32
48.226355, 16.4900091,0,14,19,26,34
48.2266812, 16.4899306,2,10,14,19,25
48.2226229, 16.4752224,2,10,13,18,24
48.2209492, 16.4863368,3,16,21,29,38
48.2505429, 16.4975986,0,19,26,34,45
48.2210563, 16.4846148,3,15,21,28,37
48.2327744, 16.4926041,0,16,22,29,38
48.2296542, 16.4912241,0,20,26,35,46
48.2431992, 16.492869,0,14,19,25,33
48.2209009, 16.4883385,1,18,24,32,42
48.2236674, 16.4895788,2,15,20,26,35
48.2238563, 16.487627,1,10,14,19,25
